"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"X199156","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnobacterium",""
"X200751","Bacteria","Tenericutes","Mollicutes","","","",""
"X484439","Bacteria","Synergistetes","Synergistia","Synergistales","Dethiosulfovibrionaceae","Jonquetella","anthropi"
"X593808","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pigmentiphaga",""
"X4346127","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella",""
"X534469","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buchnera",""
"X9510","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","delphinicola"
"X320572","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Verminephrobacter",""
"X321153","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","lividum"
"X808306","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum",""
"X107044","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","massiliensis"
"X1824908","Bacteria","Proteobacteria","Gammaproteobacteria","34P16","","",""
"X524725","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Atopobium",""
"X4294449","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",""
"X560669","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Gracilibacter",""
"X4476050","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella","potus"
"X555692","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","proteamaculans"
"X4432796","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","viridiflava"
"X370225","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","adolescentis"
"X494971","Bacteria","Synergistetes","Synergistia","Synergistales","Dethiosulfovibrionaceae","Pyramidobacter",""
"X4339358","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","",""
"X142935","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma",""
"X4475561","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",""
"X270769","Bacteria","Firmicutes","Clostridia","OPB54","","",""
"X1141330","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","u114",""
"X10323","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Ewingella","americana"
"X9498","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella","aerogenes"
"X4352471","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Brenneria","alni"
"X4447514","Bacteria","Spirochaetes","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema","amylovorum"
"X546609","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Moorella",""
"X15806","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma",""
"X306124","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Mitsuokella","multacida"
"X3573134","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","nsmpVI18",""
"X421722","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus",""
"X4471819","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassomonas",""
"X867304","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","epidermidis"
"X1684221","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","c20"
"X4473883","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","alactolyticus"
"X593138","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","",""
"X4297102","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","",""
"X4463108","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ruminis"
"X1141335","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",""
"X4370726","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus","moniliformis"
"X927238","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix",""
"X656881","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","coli"
"X4452280","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","",""
"X804621","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus",""
"X4477719","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Morganella","morganii"
"X4406302","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella",""
"X1139929","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cronobacter","sakazakii"
"X193667","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",""
"X562956","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Alkaliphilus","transvaalensis"
"X752685","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Fructobacillus",""
"X834061","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",""
"X50765","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Sediminibacterium",""
"X4325509","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella","peoriensis"
"X36255","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella",""
"X824624","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Defluviitalea","saccharophila"
"X349041","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella",""
"X4465204","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]","tannerae"
"X4405546","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Pseudogulbenkiania","subflava"
"X4466203","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nigrescens"
"X317819","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Polynucleobacter",""
"X841344","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","1-68",""
"X523577","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Gallicola",""
"X821464","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas","marina"
"X4295773","Bacteria","Proteobacteria","Betaproteobacteria","EC94","","",""
"X285068","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Aquitalea","magnusonii"
"X70512","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","porcinus"
"X114644","Bacteria","Tenericutes","Mollicutes","RsaHF231","","",""
"X687792","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Trabulsiella",""
"X4459671","Bacteria","Spirochaetes","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema","socranskii"
"X4460509","Bacteria","Synergistetes","Synergistia","Synergistales","Dethiosulfovibrionaceae","TG5",""
"X1144180","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Aeriscardovia","aeriphila"
"X573240","Bacteria","Proteobacteria","Betaproteobacteria","Thiobacterales","Thiobacteraceae","Thiobacter",""
"X4480392","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Zobellella","aerophila"
"X323791","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium",""
"X9475","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","scotiae"
"X386899","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","haemolyticus"
"X528533","Bacteria","Firmicutes","Clostridia","Natranaerobiales","Anaerobrancaceae","D21",""
"X555445","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","fimetarium"
"X2599837","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae"
"X14250","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Caloranaerobacter",""
"X190026","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","AF12",""
"X4471435","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","Sporolactobacillus",""
"X4482362","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","[Chromatiaceae]","Alkalimonas","amylolytica"
"X964220","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","durum"
"X1124040","Bacteria","Proteobacteria","Betaproteobacteria","Procabacteriales","Procabacteriaceae","",""
"X29566","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sneathia",""
"X288040","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina",""
"X4478426","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",""
"X744029","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pragia","fontium"
"X1126763","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Giesbergeria",""
"X641332","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","",""
"X3132417","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Halobacillus","dabanensis"
"X1145098","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","gauvreauii"
"X237288","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Schwartzia",""
"X4380475","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","aeria"
"X2595307","Bacteria","Firmicutes","Clostridia","Natranaerobiales","","",""
"X4310398","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nanceiensis"
"X509244","Bacteria","Proteobacteria","Betaproteobacteria","Thiobacterales","Thiobacteraceae","",""
"X4475684","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella","bettyae"
"X4456068","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","paradoxus"
"X342283","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas",""
"X4425688","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","",""
"X1080448","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","influenzae"
"X541691","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Spongiibacter",""
"X1094359","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","intestinale"
"X4327184","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","parahaemolyticus"
"X758523","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Oceanimonas",""
"X352839","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","",""
"X251702","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Atopobium","rimae"
"X4383958","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter",""
"X4412575","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Cellulosibacter","alkalithermophilus"
"X931643","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",""
"X495007","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","ph2",""
"X4347834","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","[Chromatiaceae]","Alkalimonas","collagenimarina"
"X4405903","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","hiranonis"
"X3746876","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Carludovica","palmata"
"X4351472","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus","halophilus"
"X202850","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter",""
"X290686","Bacteria","Verrucomicrobia","Opitutae","[Cerasicoccales]","[Cerasicoccaceae]","",""
"X1141218","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella",""
"X322136","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","thermoamylovorans"
"X4479467","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","rhizophila"
"X643362","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","gasigenes"
"X4430083","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio",""
"X4311005","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","bryophila"
"X138436","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Pelotomaculum",""
"X9819","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia","toletana"
"X113289","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","stutzeri"
"X295785","Bacteria","Acidobacteria","Holophagae","Holophagales","","",""
"X9036","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","hanedai"
"X366500","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","bromii"
"X212126","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Tolumonas",""
"X4458583","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","","",""
"X810754","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","",""
"X719098","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hespellia","stercorisuis"
"X4379732","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas",""
"X523751","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Ruminobacter",""
"X1111998","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosovibrio","tenuis"
"X4458619","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermacoccaceae","Dermacoccus",""
"X519290","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","pseudolongum"
"X338757","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","mucosae"
"X4330849","Bacteria","SR1","","","","",""
"X209523","Bacteria","Acidobacteria","Solibacteres","Solibacterales","","",""
"X4315688","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","celatum"
"X2136916","Bacteria","Lentisphaerae","[Lentisphaeria]","Victivallales","Victivallaceae","Victivallis","vadensis"
"X24490","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Selenomonas","lacticifex"
"X808540","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia","dispersa"
"X276567","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","equorum"
"X748564","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Ureibacillus",""
"X4366724","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","C39",""
"X43628","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","cylindroides"
"X10486","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","cuneatus"
"X2941399","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Synergistes",""
"X410549","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","pueri"
"X370964","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","pneumotropica"
"X1013213","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","caeni"
"X553643","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Geothrix",""
"X10298","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Xenorhabdus","beddingii"
"X4411875","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia",""
"X589754","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","","",""
"X470117","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium","methylpentosum"
"X4355718","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","hyovaginalis"
"X2982549","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfohalobiaceae","",""
"X541079","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Syntrophobotulus",""
"X1048020","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella",""
"X4480952","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",""
"X836693","Bacteria","Firmicutes","Clostridia","SHA-98","","",""
"X731367","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Anaerosinus","glycerini"
"X4395175","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Conchiformibius",""
"X310746","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","elkanii"
"X804579","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","plantarum"
"X4432891","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","hormaechei"
"X2147801","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","",""
"X4479606","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Agromyces",""
"X4479602","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Tannerella",""
"X2211108","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","diminuta"
"X4484389","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Bergeriella","denitrificans"
"X1132942","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus","pullicaecorum"
"X611110","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","intermedia"
"X4454140","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","flexus"
"X553623","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dietziaceae","Dietzia",""
"X3035013","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","asini"
"X918577","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Thermotalea",""
"X471412","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parasuis"
"X365385","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","bifidum"
"X151957","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus Koribacter",""
"X853114","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","",""
"X514449","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"X235969","Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae","",""
"X583853","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter",""
"X254670","Bacteria","Proteobacteria","Deltaproteobacteria","[Entotheonellales]","[Entotheonellaceae]","",""
"X1053321","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",""
"X2651333","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium",""
"X31902","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Bibersteinia",""
"X4387303","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",""
"X2458172","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum",""
"X222559","Bacteria","Planctomycetes","Phycisphaerae","WD2101","","",""
"X3241355","Bacteria","Cyanobacteria","4C0d-2","MLE1-12","","",""
"X4359869","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus",""
"X515986","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","",""
"X4403421","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","",""
"X810952","Bacteria","Chloroflexi","Ktedonobacteria","Thermogemmatisporales","Thermogemmatisporaceae","",""
"X4409932","Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae","Gemmata",""
"X4469481","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","alaskensis"
"X4314035","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax",""
"X4377652","Bacteria","TM7","TM7-3","","","",""
"X132661","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","cecorum"
"X2951283","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces",""
"X4481908","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas",""
"X4329860","Bacteria","Chloroflexi","Anaerolineae","A31","","",""
"X837512","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Virgibacillus",""
"X4326573","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","viridescens"
"X4363665","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Martelella",""
"X78648","Bacteria","Acidobacteria","DA052","Ellin6513","","",""
"X238672","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","",""
"X843189","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter",""
"X558853","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Desulfobacca",""
"X4302554","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","",""
"X4328299","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Xenorhabdus","cabanillasii"
"X4365894","Bacteria","Acidobacteria","Acidobacteria-5","","","",""
"X4314949","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","","",""
"X4460363","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes",""
"X299576","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","variabile"
"X3427116","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"X152466","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","",""
"X4473741","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Candidatus Azobacteroides",""
"X4370984","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Syntrophomonas",""
"X4337166","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Saprospiraceae","",""
"X3792581","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Plantago","sericea"
"X202033","Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Isosphaeraceae","",""
"X4379875","Bacteria","Planctomycetes","Phycisphaerae","MSBL9","","",""
"X16026","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Sporobacter","termitidis"
"X332934","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","",""
"X39443","Bacteria","TM7","TM7-3","CW040","F16","",""
"X904452","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","",""
"X4383845","Bacteria","Acidobacteria","Solibacteres","JH-WHS99","","",""
"X4405685","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","",""
"X4462613","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21","",""
"X741708","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"X588637","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SUP05","",""
"X4245392","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","aminovorans"
"X1128226","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","sanguinis"
"X4303009","Bacteria","Gemmatimonadetes","Gemm-1","","","",""
"X1141660","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Aquaspirillum","serpens"
"X543083","Bacteria","Acidobacteria","BPC102","MVS-40","","",""
"X811008","Bacteria","Acidobacteria","EC1113","","","",""
"X569088","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Desulfomonile",""
"X3479426","Bacteria","Firmicutes","OPB54","","","",""
"X332450","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","eutactus"
"X606431","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","","",""
"X4444272","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","",""
"X240137","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","",""
"X1887414","Bacteria","TM7","TM7-3","I025","Rs-045","",""
"X145059","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Plesiomonas",""
"X151814","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus",""
